goals;yellowCards;redCards;groundDuelsWon;groundDuelsWonPercentage;aerialDuelsWon;aerialDuelsWonPercentage;successfulDribbles;successfulDribblesPercentage;tackles;assists;accuratePassesPercentage;totalDuelsWon;totalDuelsWonPercentage;minutesPlayed;wasFouled;fouls;dispossessed;appearances;saves;savedShotsFromInsideTheBox;savedShotsFromOutsideTheBox;goalsConcededInsideTheBox;goalsConcededOutsideTheBox;highClaims;successfulRunsOut;punches;runsOut;accurateFinalThirdPasses;bigChancesCreated;accuratePasses;keyPasses;accurateCrosses;accurateCrossesPercentage;accurateLongBalls;accurateLongBallsPercentage;interceptions;clearances;dribbledPast;bigChancesMissed;totalShots;shotsOnTarget;blockedShots;goalConversionPercentage;hitWoodwork;offsides;expectedGoals;errorLeadToGoal;errorLeadToShot;passToAssist;player;team
0.46;0.19;0.04;2.68;46.98;1.68;47.31;0.65;48.57;0.96;0.27;67.68;4.36;47.11;90;1.07;0.57;1.11;1.07;0.0;0.0;0.0;0.84;0.11;0.0;0.0;0.0;0.0;5.85;0.23;14.43;1.26;0.23;16.67;0.84;61.11;0.23;0.99;0.69;0.23;2.41;0.92;0.31;19.05;0.11;0.27;0.0;0.0;0.0;0.0;Cris Martínez;Huachipato
0.17;0.22;0.06;3.79;45.95;0.17;18.75;0.56;41.67;1.56;0.22;76.71;3.96;43.29;90;1.67;0.89;1.95;1.23;0.0;0.0;0.0;0.67;0.06;0.0;0.0;0.0;0.0;17.44;0.61;38.17;3.07;1.78;29.36;2.95;56.38;0.5;0.61;1.0;0.06;2.73;0.95;0.89;6.12;0.0;0.17;0.0;0.0;0.0;0.0;Leonardo Gil;Colo Colo
0.58;0.25;0.0;4.98;42.25;3.15;46.91;1.83;44.9;0.58;0.08;58.03;8.14;43.95;90;2.66;1.74;2.82;1.16;0.0;0.0;0.0;1.16;0.08;0.0;0.0;0.0;0.0;8.47;0.17;14.7;1.49;0.08;33.33;1.08;68.42;0.17;0.58;0.17;0.5;4.23;1.99;0.42;13.73;0.17;1.25;;0.0;0.0;0.0;Lucas Passerini;Unión La Calera
0.0;0.91;0.0;4.55;83.33;0.91;25.0;0.0;0.0;4.55;0.0;85.11;5.45;60.0;90;0.0;0.91;0.0;1.82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.82;0.0;36.36;2.73;2.73;50.0;1.82;66.67;0.0;0.0;0.0;0.0;3.64;0.0;0.91;0.0;0.0;0.0;;0.0;0.0;0.0;Iván Contreras;Cobresal
0.49;0.54;0.0;3.32;38.86;0.39;36.36;1.61;42.31;0.93;0.15;59.53;3.71;38.58;90;0.78;1.17;1.27;1.27;0.0;0.0;0.0;1.37;0.0;0.0;0.0;0.0;0.0;7.95;0.34;13.7;1.66;0.88;16.07;1.32;49.09;0.24;0.29;0.63;0.2;5.17;1.9;1.46;9.43;0.05;1.41;0.0;0.0;0.0;0.0;Leandro Fernández;Universidad de Chile
0.28;0.23;0.0;3.88;48.0;0.37;50.0;1.57;60.71;0.6;0.28;77.45;4.25;48.17;90;1.71;0.79;1.76;1.25;0.0;0.0;0.0;1.16;0.09;0.0;0.0;0.0;0.0;10.21;0.32;25.23;2.4;1.62;35.0;2.77;54.05;0.51;0.14;0.74;0.09;2.36;0.74;0.51;11.76;0.05;0.05;0.0;0.0;0.0;0.05;Leonardo Valencia;Cobresal
0.18;0.15;0.0;3.49;64.0;1.09;50.0;0.18;41.67;1.71;0.07;85.04;4.58;60.0;90;1.6;1.09;0.29;1.02;0.0;0.0;0.0;1.2;0.11;0.0;0.0;0.0;0.0;7.12;0.0;42.35;0.58;0.04;9.09;3.74;57.54;1.34;1.89;0.44;0.0;1.2;0.25;0.15;15.15;0.0;0.11;0.0;0.0;0.0;0.0;Alejandro Camargo;Cobresal
0.08;0.34;0.0;5.53;60.83;1.32;67.31;0.53;63.64;3.63;0.0;80.26;6.85;61.99;90;1.4;1.48;0.72;1.02;0.0;0.0;0.0;1.1;0.23;0.0;0.0;0.0;0.0;5.87;0.0;30.77;0.72;0.08;66.67;2.69;62.83;2.16;1.63;1.1;0.04;0.64;0.3;0.0;11.76;0.0;0.11;0.0;0.0;0.0;0.0;Juan Jose Jaime;Deportes Copiapó
0.66;0.31;0.09;2.42;34.38;1.19;30.68;0.31;19.44;0.66;0.13;74.96;3.61;33.06;90;1.45;1.41;1.67;1.1;0.0;0.0;0.0;1.15;0.22;0.0;0.0;0.0;0.0;9.96;0.18;21.37;1.59;0.35;38.1;1.28;64.44;0.26;0.4;0.48;0.26;2.69;1.28;0.31;24.59;0.04;1.1;0.0;0.0;0.0;0.0;Patricio Rubio;Ñublense
0.6;0.22;0.0;4.3;44.63;0.76;37.84;2.78;52.04;0.93;0.16;80.84;5.06;43.46;90;0.6;0.71;1.36;1.14;0.0;0.0;0.0;1.47;0.05;0.0;0.0;0.0;0.0;10.45;0.27;27.32;1.52;0.44;25.81;2.07;69.09;0.44;0.27;0.76;0.11;2.78;1.14;0.87;21.57;0.11;0.11;0.0;0.05;0.0;0.0;Rodrigo Piñeiro;Unión Española
0.64;0.34;0.0;2.97;49.07;1.73;48.94;0.34;37.5;0.56;0.08;70.66;4.7;49.02;90;2.1;1.46;0.83;1.05;0.0;0.0;0.0;1.35;0.15;0.0;0.0;0.0;0.0;3.38;0.11;12.85;0.83;0.11;75.0;0.9;53.33;0.15;0.6;0.3;0.41;2.93;1.24;0.34;21.79;0.08;0.41;;0.0;0.0;0.0;Fernando Zampedri;Universidad Católica
0.12;0.46;0.0;4.83;58.33;0.86;41.67;1.15;71.43;3.05;0.12;71.14;5.7;55.0;90;0.63;1.5;0.52;1.15;0.0;0.0;0.0;1.04;0.12;0.0;0.0;0.0;0.0;8.52;0.23;24.11;1.78;0.4;24.14;3.11;47.37;0.81;0.52;0.98;0.06;1.84;0.4;0.69;6.25;0.0;0.0;;0.0;0.0;0.0;Federico Mateos;Universidad de Chile
0.0;0.0;0.0;9.26;87.5;0.0;0.0;3.97;75.0;5.29;0.0;66.67;9.26;87.5;90;0.0;0.0;0.0;1.32;0.0;0.0;0.0;2.65;0.0;0.0;0.0;0.0;0.0;3.97;0.0;18.53;0.0;1.32;100.0;0.0;0.0;0.0;0.0;0.0;0.0;2.65;0.0;2.65;0.0;0.0;0.0;;0.0;0.0;0.0;Diego Orellana Riffo;Coquimbo Unido
0.0;0.19;0.0;0.09;66.67;0.05;33.33;0.0;0.0;0.0;0.0;53.27;0.14;50.0;90;0.09;0.0;0.0;1.04;3.92;2.36;1.56;0.8;0.24;0.28;0.05;0.47;0.05;0.99;0.0;13.45;0.0;0.0;0.0;5.19;30.73;0.0;1.18;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.05;0.0;0.0;0.0;0.0;Nelson Espinoza;Deportes Copiapó
0.15;0.25;0.0;3.24;46.72;0.76;50.0;1.97;52.0;0.46;0.46;68.05;3.99;47.31;90;0.81;0.56;1.06;1.31;0.0;0.0;0.0;1.11;0.1;0.0;0.0;0.0;0.0;8.85;0.46;24.02;2.48;2.02;25.81;2.17;48.86;0.46;0.35;0.3;0.0;1.57;0.46;0.4;9.68;0.05;0.3;;0.0;0.0;0.0;Facundo Castro;O'Higgins
