goals;yellowCards;redCards;groundDuelsWon;groundDuelsWonPercentage;aerialDuelsWon;aerialDuelsWonPercentage;successfulDribbles;successfulDribblesPercentage;tackles;assists;accuratePassesPercentage;totalDuelsWon;totalDuelsWonPercentage;minutesPlayed;wasFouled;fouls;dispossessed;appearances;saves;savedShotsFromInsideTheBox;savedShotsFromOutsideTheBox;goalsConcededInsideTheBox;goalsConcededOutsideTheBox;highClaims;successfulRunsOut;punches;runsOut;accurateFinalThirdPasses;bigChancesCreated;accuratePasses;keyPasses;accurateCrosses;accurateCrossesPercentage;accurateLongBalls;accurateLongBallsPercentage;interceptions;clearances;dribbledPast;bigChancesMissed;totalShots;shotsOnTarget;blockedShots;goalConversionPercentage;hitWoodwork;offsides;expectedGoals;errorLeadToGoal;errorLeadToShot;passToAssist;player;team
0.0;0.13;0.0;3.9;66.41;0.63;48.28;1.16;78.79;2.46;0.09;76.57;4.52;63.13;90;0.27;0.49;0.58;1.12;0.0;0.0;0.0;1.16;0.13;0.0;0.0;0.0;0.0;9.54;0.04;39.22;1.16;1.03;26.74;3.99;49.17;0.99;2.01;0.63;0.0;0.45;0.09;0.13;0.0;0.04;0.04;;0.0;0.0;0.0;Simón Ramírez;Unión Española
0.0;0.0;0.0;0.36;66.67;0.18;100.0;0.0;0.0;0.0;0.0;62.34;0.54;75.0;90;0.36;0.0;0.0;1.08;5.6;4.16;1.45;2.17;0.18;0.9;0.0;0.18;0.0;1.08;0.0;17.35;0.0;0.0;0.0;6.14;37.36;0.0;0.54;0.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Luis Santelices;Curicó Unido
0.31;0.13;0.0;2.42;37.41;0.97;36.67;0.44;50.0;0.53;0.09;68.27;3.39;37.2;90;1.45;1.63;1.89;1.23;0.0;0.0;0.0;0.75;0.09;0.0;0.0;0.0;0.0;5.85;0.09;11.83;1.36;0.18;28.57;0.7;64.0;0.31;0.62;0.09;0.09;2.33;1.06;0.35;13.21;0.18;0.31;0.0;0.0;0.0;0.0;Maximiliano Rodríguez;Huachipato
0.04;0.16;0.0;2.63;57.66;2.55;76.54;0.12;60.0;1.93;0.0;83.07;5.18;65.63;90;0.58;0.86;0.21;1.15;0.0;0.0;0.0;0.95;0.08;0.0;0.0;0.0;0.0;1.69;0.0;36.3;0.04;0.04;33.33;3.33;52.26;2.26;5.51;0.95;0.12;0.62;0.08;0.0;6.67;0.0;0.04;0.0;0.0;0.0;0.0;Benjamín Gazzolo;Huachipato
0.0;0.33;0.0;2.28;50.0;1.03;53.19;0.12;37.5;1.78;0.08;76.03;3.31;50.96;90;0.37;1.2;0.5;1.03;0.0;0.0;0.0;0.99;0.12;0.0;0.0;0.0;0.0;10.63;0.12;35.17;1.28;0.95;29.49;4.47;49.77;2.03;2.9;0.5;0.0;0.62;0.12;0.17;0.0;0.0;0.08;;0.0;0.0;0.0;Luis Pavez;Unión Española
0.03;0.21;0.0;3.03;73.11;1.6;51.11;0.17;71.43;1.77;0.0;85.03;4.63;63.64;90;1.08;0.38;0.07;1.01;0.0;0.0;0.0;1.15;0.21;0.0;0.0;0.0;0.0;2.3;0.0;31.62;0.21;0.0;0.0;2.71;56.52;2.19;3.86;0.59;0.0;0.38;0.03;0.07;9.09;0.0;0.03;0.0;0.0;0.03;0.0;Rafael Caroca;Ñublense
0.11;0.11;0.0;3.49;45.71;0.22;14.29;0.87;44.44;1.09;0.33;78.07;3.71;40.48;90;1.53;1.42;1.09;1.42;0.0;0.0;0.0;1.09;0.0;0.0;0.0;0.0;0.0;9.49;0.22;19.42;3.16;1.64;34.09;1.64;53.57;0.22;0.55;0.65;0.0;1.75;0.33;0.65;6.25;0.0;0.0;0.0;0.0;0.0;0.0;Bryan Rabello;O'Higgins
0.0;0.14;0.04;3.8;60.69;0.87;45.28;0.47;68.42;1.67;0.18;78.37;4.67;57.08;90;1.67;1.23;0.62;1.01;0.0;0.0;0.0;1.16;0.14;0.0;0.0;0.0;0.0;10.4;0.07;43.33;0.91;0.54;38.46;2.93;48.8;1.56;1.59;0.54;0.0;1.01;0.11;0.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Benjamín Berríos;Everton de Viña del Mar
0.0;0.11;0.0;0.36;100.0;0.21;100.0;0.04;100.0;0.04;0.0;58.26;0.57;100.0;90;0.32;0.0;0.0;1.0;3.29;2.14;1.11;0.96;0.14;0.75;0.18;0.36;0.18;1.39;0.0;16.0;0.04;0.0;0.0;6.32;36.42;0.0;0.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04;0.0;0.04;0.0;0.0;Nicola Pérez;Ñublense
0.06;0.13;0.0;4.66;71.29;0.84;54.17;1.36;67.74;2.85;0.06;77.25;5.5;68.0;90;0.45;0.45;0.13;1.23;0.0;0.0;0.0;1.23;0.06;0.0;0.0;0.0;0.0;6.34;0.06;31.64;0.84;0.84;27.66;3.24;42.02;1.42;1.81;0.65;0.06;0.39;0.26;0.06;16.67;0.0;0.06;0.0;0.0;0.0;0.06;Felipe Campos;Everton de Viña del Mar
0.0;0.15;0.0;0.35;100.0;0.15;80.0;0.12;100.0;0.0;0.0;69.09;0.5;92.86;90;0.27;0.0;0.0;1.0;3.23;2.15;1.08;1.04;0.23;0.58;0.08;0.12;0.08;1.65;0.0;21.58;0.04;0.0;0.0;6.58;41.4;0.0;0.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Omar Carabalí;Unión La Calera
0.25;0.0;0.0;5.72;49.19;0.63;33.33;1.89;47.62;1.95;0.19;70.75;6.35;46.98;90;1.89;0.69;1.82;1.26;0.0;0.0;0.0;0.94;0.19;0.0;0.0;0.0;0.0;7.73;0.19;19.61;1.26;0.82;29.55;0.57;36.0;0.63;0.44;1.45;0.13;2.64;1.19;0.63;9.52;0.0;0.19;0.0;0.0;0.0;0.0;Matías Cavalleri;Unión La Calera
0.09;0.28;0.0;5.14;50.46;0.56;30.0;1.12;50.0;1.12;0.19;75.5;5.7;47.29;90;2.9;1.68;1.59;1.4;0.0;0.0;0.0;0.84;0.19;0.0;0.0;0.0;0.0;12.43;0.37;31.96;2.06;1.59;22.97;1.96;48.84;0.28;0.56;0.75;0.09;3.93;1.21;1.03;2.38;0.09;0.47;0.0;0.0;0.0;0.0;Juan Cuevas;Everton de Viña del Mar
0.05;0.42;0.05;4.91;55.03;0.16;30.0;0.95;75.0;2.37;0.0;81.68;5.06;53.63;90;1.58;1.48;0.58;1.16;0.0;0.0;0.0;1.79;0.32;0.0;0.0;0.0;0.0;13.14;0.11;50.8;1.21;0.74;41.18;7.44;57.32;1.58;0.69;1.69;0.0;1.64;0.42;0.42;3.23;0.05;0.0;;0.0;0.0;0.0;Mario Sandoval;Curicó Unido
0.17;0.22;0.04;3.7;60.99;0.52;40.0;0.43;55.56;2.24;0.22;75.77;4.21;57.31;90;1.03;0.69;0.43;1.03;0.0;0.0;0.0;1.29;0.09;0.0;0.0;0.0;0.0;8.73;0.09;33.76;0.95;0.6;21.54;3.23;43.35;1.08;1.38;0.99;0.0;0.86;0.39;0.26;20.0;0.04;0.04;;0.04;0.04;0.0;Guillermo Pacheco;Cobresal
0.0;0.21;0.08;3.01;52.9;1.03;52.08;0.45;73.33;2.02;0.04;85.18;4.04;52.69;90;0.54;1.15;0.49;1.07;0.0;0.0;0.0;0.87;0.12;0.0;0.0;0.0;0.0;8.29;0.08;48.13;0.41;0.0;0.0;4.83;64.29;1.86;2.47;0.95;0.04;0.45;0.04;0.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Claudio Sepúlveda;Huachipato
0.0;0.07;0.0;3.12;58.44;2.08;57.69;0.55;61.54;1.87;0.0;77.18;5.2;58.14;90;0.69;1.25;0.35;1.18;0.0;0.0;0.0;0.62;0.07;0.0;0.0;0.0;0.0;2.98;0.07;34.92;0.21;0.14;66.67;4.16;41.96;1.59;3.81;0.28;0.14;0.55;0.0;0.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Alan Saldivia;Colo Colo
0.0;0.0;0.0;4.96;57.45;0.55;33.33;2.39;72.22;1.1;0.18;85.96;5.51;53.57;90;1.47;0.92;1.65;1.47;0.0;0.0;0.0;0.55;0.0;0.0;0.0;0.0;0.0;13.04;0.0;28.1;1.47;0.18;12.5;2.2;85.71;0.0;0.37;0.18;0.18;2.57;0.55;0.92;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Pablo Parra;Colo Colo
0.0;0.0;0.0;1.77;78.57;0.81;45.45;0.16;100.0;1.29;0.0;79.45;2.58;64.0;90;0.32;0.16;0.0;1.29;0.0;0.0;0.0;0.64;0.16;0.0;0.0;0.0;0.0;1.45;0.0;28.01;0.0;0.0;0.0;3.22;46.51;2.09;5.64;0.32;0.0;0.48;0.0;0.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Bruno Romo;Deportes Copiapó
0.07;0.07;0.0;3.44;58.82;1.17;58.62;0.69;66.67;2.34;0.14;78.19;4.61;58.77;90;0.41;1.1;0.21;1.65;0.0;0.0;0.0;0.69;0.07;0.0;0.0;0.0;0.0;8.39;0.28;31.58;1.44;1.31;33.93;2.0;37.66;1.51;1.65;0.76;0.0;0.89;0.21;0.28;7.69;0.07;0.14;;0.0;0.0;0.07;Antonio Castillo;Huachipato
0.6;0.07;0.0;1.67;37.88;1.0;31.25;0.27;36.36;0.53;0.07;64.74;2.67;35.09;90;0.87;0.53;1.13;1.53;0.0;0.0;0.0;1.4;0.13;0.0;0.0;0.0;0.0;4.2;0.07;8.2;1.4;0.4;31.58;0.47;46.67;0.2;0.2;0.6;0.53;4.13;1.93;1.0;14.52;0.07;1.07;0.0;0.0;0.0;0.0;Cristian Palacios;Universidad de Chile
0.1;0.42;0.0;6.31;56.54;1.09;60.0;1.25;48.98;2.29;0.31;73.0;7.4;57.03;90;2.76;2.24;0.78;1.46;0.0;0.0;0.0;1.04;0.16;0.0;0.0;0.0;0.0;8.7;0.26;27.62;1.15;0.68;21.67;2.5;52.17;1.35;0.83;0.78;0.0;0.89;0.42;0.16;11.76;0.0;0.1;0.0;0.0;0.0;0.0;Cristian Cuevas;Universidad Católica
0.09;0.3;0.04;2.13;54.44;2.96;66.02;0.04;33.33;1.52;0.0;67.14;5.1;60.62;90;0.57;0.83;0.22;1.0;0.0;0.0;0.0;1.13;0.09;0.0;0.0;0.0;0.0;2.0;0.0;20.39;0.04;0.0;0.0;2.48;34.97;2.31;5.79;0.65;0.0;0.96;0.35;0.13;9.09;0.0;0.04;;0.0;0.0;0.0;Salvador Sánchez;Coquimbo Unido
0.0;0.08;0.0;1.57;57.14;1.3;63.46;0.2;100.0;0.98;0.04;86.06;2.87;59.84;90;0.39;0.55;0.12;1.1;0.0;0.0;0.0;0.83;0.12;0.0;0.0;0.0;0.0;3.18;0.04;42.23;0.08;0.0;0.0;3.18;51.59;1.73;3.46;0.51;0.0;0.31;0.12;0.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Nicolás Ramírez;Huachipato
0.21;0.17;0.0;3.23;50.33;0.51;37.5;0.81;46.34;1.19;0.13;73.81;3.74;48.09;90;1.23;0.81;0.76;1.27;0.0;0.0;0.0;1.06;0.25;0.0;0.0;0.0;0.0;9.39;0.21;20.35;2.04;1.4;20.0;0.68;27.59;0.68;0.08;0.76;0.08;1.53;0.68;0.34;13.89;0.08;0.47;0.0;0.0;0.0;0.0;Bryan Carrasco;Palestino
0.05;0.09;0.0;1.71;56.72;2.16;57.14;0.0;0.0;1.17;0.0;82.47;3.88;56.95;90;0.54;0.59;0.18;1.04;0.0;0.0;0.0;1.17;0.27;0.0;0.0;0.0;0.0;4.15;0.0;46.67;0.36;0.0;0.0;6.72;56.44;1.17;3.61;0.41;0.09;0.72;0.14;0.09;6.25;0.05;0.05;0.0;0.0;0.0;0.0;Cristián Suárez;Palestino
0.15;0.22;0.0;5.0;63.21;0.6;42.11;1.57;65.63;1.64;0.37;74.9;5.6;60.0;90;1.79;0.6;1.04;1.79;0.0;0.0;0.0;1.72;0.3;0.0;0.0;0.0;0.0;11.34;0.45;27.84;2.46;0.45;16.67;1.42;42.22;0.3;0.45;0.6;0.0;2.46;0.6;0.52;6.06;0.07;0.0;0.0;0.0;0.0;0.0;Gabriel Hachen;Audax Italiano
0.0;0.39;0.0;5.65;57.3;0.72;43.33;1.38;55.56;2.88;0.33;68.4;6.37;55.29;90;1.38;1.61;0.83;1.16;0.0;0.0;0.0;1.49;0.0;0.0;0.0;0.0;0.0;7.42;0.39;24.8;1.33;0.94;23.29;2.38;34.68;0.83;1.94;0.77;0.0;0.83;0.28;0.17;0.0;0.0;0.06;0.0;0.0;0.0;0.0;Marcelo Morales;Universidad de Chile
0.15;0.15;0.0;3.15;44.37;0.1;33.33;0.8;42.11;0.7;0.3;68.45;3.25;43.92;90;1.65;0.75;1.3;1.5;0.0;0.0;0.0;1.3;0.3;0.0;0.0;0.0;0.0;9.54;0.4;19.19;2.55;1.95;40.63;1.5;46.88;0.35;0.2;0.9;0.1;2.2;0.8;0.8;6.82;0.0;0.4;0.0;0.0;0.0;0.0;Diego Buonanotte;Unión La Calera
0.39;0.35;0.0;1.49;40.96;1.89;41.35;0.75;62.96;0.22;0.09;75.9;3.38;41.18;90;0.53;0.53;1.05;1.05;0.0;0.0;0.0;1.4;0.18;0.0;0.0;0.0;0.0;6.01;0.18;16.58;0.88;0.0;0.0;0.92;63.64;0.0;0.88;0.18;0.35;2.28;0.96;0.31;17.31;0.13;0.44;0.0;0.0;0.0;0.0;Cecilio Waterman;Cobresal
0.23;0.05;0.0;5.05;47.01;1.06;44.23;1.93;49.41;1.38;0.09;80.37;6.11;46.5;90;1.74;1.01;2.43;1.19;0.0;0.0;0.0;0.92;0.09;0.0;0.0;0.0;0.0;14.1;0.18;31.59;1.42;0.32;14.29;2.57;73.68;0.55;0.14;0.37;0.09;1.97;0.83;0.37;11.63;0.0;0.28;0.0;0.0;0.0;0.0;Ariel Uribe;Unión Española
0.04;0.24;0.0;3.02;63.79;1.39;54.84;0.2;100.0;2.12;0.0;82.28;4.41;60.67;90;0.69;0.86;0.29;1.02;0.0;0.0;0.0;1.22;0.12;0.0;0.0;0.0;0.0;0.9;0.0;30.69;0.04;0.0;0.0;3.76;50.27;1.84;3.76;0.61;0.0;0.33;0.12;0.04;12.5;0.0;0.08;;0.0;0.0;0.0;Francisco Alarcón;Cobresal
0.52;0.52;0.0;2.85;57.89;2.33;39.13;0.52;100.0;1.82;0.0;60.0;5.19;47.62;90;0.52;1.56;0.52;2.59;0.0;0.0;0.0;1.04;0.0;0.0;0.0;0.0;0.0;6.74;0.26;12.45;1.56;0.0;0.0;1.82;87.5;0.52;1.3;0.0;0.26;2.07;1.04;0.26;25.0;0.0;0.52;;0.0;0.0;0.0;Mateo Acosta;Huachipato
0.5;0.13;0.0;4.72;47.17;0.25;20.0;1.89;56.6;1.51;0.13;76.17;4.97;44.13;90;1.32;0.88;2.27;1.51;0.0;0.0;0.0;1.32;0.25;0.0;0.0;0.0;0.0;7.74;0.19;19.51;1.2;0.38;20.0;1.01;53.33;0.69;0.76;0.69;0.0;2.39;1.01;0.63;21.05;0.0;0.13;0.0;0.0;0.0;0.0;Gonzalo Ríos;Audax Italiano
0.11;0.32;0.0;2.04;55.88;2.31;67.19;0.32;100.0;1.24;0.0;76.37;4.35;61.36;90;0.48;1.45;0.05;1.07;0.0;0.0;0.0;1.02;0.16;0.0;0.0;0.0;0.0;2.53;0.0;33.69;0.05;0.0;0.0;3.92;40.11;2.26;5.1;0.27;0.0;0.7;0.21;0.05;15.38;0.05;0.05;0.0;0.0;0.0;0.0;Diego González;O'Higgins
0.0;0.19;0.0;2.4;46.91;1.07;60.71;0.19;50.0;1.96;0.25;82.75;3.47;50.46;90;0.32;1.64;0.44;1.26;0.0;0.0;0.0;1.51;0.19;0.0;0.0;0.0;0.0;8.96;0.13;37.21;1.01;1.01;45.71;4.54;57.6;1.96;1.89;0.63;0.0;0.95;0.06;0.5;0.0;0.06;0.0;;0.0;0.0;0.0;Brayan Rovira;Universidad Católica
0.0;0.24;0.0;2.18;100.0;1.21;62.5;0.73;100.0;1.45;0.0;72.96;3.39;82.35;90;0.0;0.0;0.0;1.45;0.0;0.0;0.0;0.48;0.24;0.0;0.0;0.0;0.0;3.15;0.0;28.06;0.0;0.0;0.0;1.94;26.67;2.42;1.45;0.0;0.0;0.48;0.0;0.0;0.0;0.0;0.24;;0.0;0.0;0.0;Matías de los Santos;Colo Colo
0.19;0.19;0.0;1.5;72.73;2.06;73.33;0.19;100.0;1.13;0.0;76.87;3.56;73.08;90;0.19;0.56;0.0;1.13;0.0;0.0;0.0;1.69;0.0;0.0;0.0;0.0;0.0;2.25;0.0;21.19;0.38;0.0;0.0;3.56;48.72;1.88;4.31;0.0;0.0;0.38;0.19;0.0;50.0;0.0;0.0;;0.19;0.0;0.0;Bruno Cabrera;Coquimbo Unido
0.32;0.24;0.0;4.95;49.21;0.96;46.15;1.36;40.48;1.36;0.24;73.36;5.91;48.68;90;2.24;1.28;1.36;2.0;0.0;0.0;0.0;1.12;0.08;0.0;0.0;0.0;0.0;6.87;0.48;16.05;1.6;0.8;18.87;0.64;61.54;0.64;0.8;0.64;0.0;2.48;1.12;0.56;12.9;0.0;0.16;0.0;0.0;0.0;0.0;Gonzalo Tapia;Universidad Católica
0.0;0.11;0.0;1.62;60.42;0.56;47.62;0.11;40.0;1.12;0.06;83.59;2.18;56.52;90;0.39;0.28;0.34;1.18;0.0;0.0;0.0;1.06;0.22;0.0;0.0;0.0;0.0;9.35;0.0;42.76;1.01;0.34;27.27;5.6;66.23;1.06;1.23;0.34;0.0;1.12;0.28;0.34;0.0;0.0;0.0;;0.0;0.0;0.0;Marcelo Díaz;Audax Italiano
0.2;0.2;0.0;3.32;46.36;0.39;30.0;1.11;56.67;0.52;0.13;69.92;3.71;43.85;90;1.69;0.72;1.95;1.43;0.0;0.0;0.0;1.17;0.07;0.0;0.0;0.0;0.0;9.12;0.07;22.4;2.21;1.24;31.15;1.24;47.5;0.2;0.2;0.52;0.13;2.21;0.78;0.78;8.82;0.0;0.46;0.0;0.0;0.0;0.0;Ismael Sosa;Ñublense
0.08;0.23;0.0;3.11;61.54;2.8;54.55;0.16;50.0;2.41;0.0;72.26;5.91;58.02;90;0.54;0.85;0.08;1.32;0.0;0.0;0.0;1.17;0.08;0.0;0.0;0.0;0.0;2.88;0.16;31.79;0.23;0.0;0.0;4.04;38.81;2.33;3.96;1.01;0.0;1.24;0.31;0.31;6.25;0.08;0.0;0.0;0.0;0.0;0.0;Lucas Abascia;Ñublense
0.0;0.1;0.0;0.87;81.82;0.39;100.0;0.19;100.0;0.0;0.0;65.81;1.25;86.67;90;0.87;0.0;0.0;1.06;3.85;1.64;2.21;1.16;0.29;0.39;0.39;0.96;0.39;1.25;0.0;17.23;0.0;0.0;0.0;5.49;38.78;0.1;1.35;0.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.1;0.0;0.0;Diego Tapia;Deportes Magallanes
0.26;0.13;0.0;4.45;44.74;0.52;44.44;1.96;57.69;1.44;0.26;71.85;4.97;44.71;90;1.05;1.18;2.35;1.57;0.0;0.0;0.0;0.65;0.39;0.0;0.0;0.0;0.0;10.99;0.52;22.37;2.88;0.52;40.0;0.26;50.0;0.13;0.13;1.05;0.13;2.22;0.65;1.05;11.76;0.13;0.26;;0.0;0.0;0.0;Fabián Castillo;Colo Colo
0.04;0.08;0.0;0.08;66.67;0.08;66.67;0.0;0.0;0.0;0.0;64.83;0.17;66.67;90;0.08;0.0;0.0;1.0;2.96;1.63;1.33;1.13;0.17;0.46;0.04;0.46;0.04;1.58;0.0;16.67;0.08;0.0;0.0;6.63;42.4;0.0;0.63;0.04;0.0;0.04;0.04;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;Leandro Requena;Cobresal
0.0;0.28;0.0;1.97;51.22;2.25;64.86;0.47;71.43;1.31;0.09;80.99;4.22;57.69;90;0.19;0.75;0.47;1.13;0.0;0.0;0.0;1.03;0.09;0.0;0.0;0.0;0.0;3.66;0.0;32.34;0.28;0.09;33.33;2.91;50.82;1.59;2.91;0.47;0.0;0.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Jose Bizama;Palestino
0.17;0.25;0.08;5.61;47.83;1.27;57.69;1.87;46.81;2.55;0.08;75.12;6.88;49.39;90;1.19;1.19;1.02;1.36;0.0;0.0;0.0;1.36;0.08;0.0;0.0;0.0;0.0;9.26;0.42;25.92;2.21;1.44;26.15;2.04;63.16;1.02;0.42;1.87;0.08;1.44;0.17;0.59;11.76;0.0;0.17;;0.0;0.0;0.0;Darío Osorio;Universidad de Chile
0.0;0.22;0.0;3.77;64.12;0.99;52.38;0.45;55.56;2.42;0.09;82.93;4.76;61.27;90;0.9;0.81;0.22;1.08;0.0;0.0;0.0;1.26;0.13;0.0;0.0;0.0;0.0;7.13;0.13;34.23;0.9;0.63;36.84;2.6;50.88;1.21;2.87;0.81;0.04;0.4;0.0;0.13;0.0;0.0;0.09;0.0;0.0;0.0;0.0;Felipe Espinoza;Deportes Magallanes
0.13;0.31;0.0;2.19;66.67;2.11;80.0;0.09;66.67;1.23;0.0;83.68;4.3;72.59;90;0.88;0.79;0.09;1.18;0.0;0.0;0.0;1.32;0.31;0.0;0.0;0.0;0.0;2.94;0.0;44.76;0.18;0.09;100.0;4.78;53.69;1.01;4.87;0.26;0.0;0.83;0.39;0.09;15.79;0.0;0.0;0.0;0.04;0.0;0.0;Fernando Pinero;Deportes Magallanes
0.41;0.16;0.04;2.04;38.17;2.04;44.25;0.33;44.44;0.29;0.12;63.92;4.08;40.98;90;1.47;1.96;0.9;1.06;0.0;0.0;0.0;1.14;0.16;0.0;0.0;0.0;0.0;4.69;0.04;11.06;1.1;0.08;22.22;0.49;46.15;0.2;0.53;0.29;0.37;2.94;0.98;0.53;13.89;0.04;1.06;0.0;0.0;0.0;0.0;Gonzalo Sosa;Audax Italiano
0.26;0.3;0.0;4.0;44.71;0.99;58.97;0.95;53.66;1.72;0.09;78.59;4.99;46.96;90;1.33;1.42;1.55;1.16;0.0;0.0;0.0;0.99;0.21;0.0;0.0;0.0;0.0;12.34;0.17;31.55;1.59;0.39;21.95;2.41;59.57;0.77;0.82;1.16;0.13;1.63;0.77;0.3;15.79;0.09;0.0;0.0;0.04;0.04;0.04;César Pérez;Unión La Calera
0.04;0.31;0.04;2.79;56.8;0.59;55.56;0.24;66.67;1.96;0.0;80.65;3.38;56.58;90;0.59;1.02;0.39;1.02;0.0;0.0;0.0;0.78;0.2;0.0;0.0;0.0;0.0;10.6;0.0;34.19;0.55;0.08;22.22;3.81;63.82;1.14;0.78;0.67;0.04;1.41;0.2;0.59;2.78;0.04;0.0;0.0;0.0;0.0;0.0;Esteban Pavez;Colo Colo
0.0;0.21;0.0;0.17;57.14;0.13;100.0;0.0;0.0;0.0;0.0;70.71;0.29;70.0;90;0.17;0.04;0.0;1.0;3.17;2.25;0.92;1.17;0.13;0.46;0.67;0.42;0.67;1.21;0.0;19.21;0.0;0.0;0.0;5.5;41.64;0.0;0.83;0.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.04;0.0;0.0;Nacho González;O'Higgins
0.0;0.0;0.0;0.25;100.0;0.25;50.0;0.0;0.0;0.0;0.0;53.26;0.5;66.67;90;0.25;0.0;0.0;1.0;3.5;2.0;1.25;1.75;0.0;0.5;0.25;0.5;0.25;1.75;0.0;12.25;0.0;0.0;0.0;5.5;33.85;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Nicolás Guirín;Unión Española
0.0;0.25;0.0;2.25;51.14;2.25;70.31;0.15;75.0;1.75;0.0;77.45;4.5;59.21;90;0.35;1.55;0.45;1.1;0.0;0.0;0.0;0.8;0.2;0.0;0.0;0.0;0.0;2.85;0.0;33.65;0.05;0.0;0.0;4.45;47.34;1.35;3.4;0.2;0.1;0.8;0.05;0.2;0.0;0.2;0.05;0.0;0.0;0.0;0.0;Ramiro González;Colo Colo
0.05;0.14;0.0;4.18;60.4;1.63;62.5;1.21;63.41;2.37;0.0;74.64;5.81;60.98;90;0.6;0.7;0.7;1.07;0.0;0.0;0.0;1.07;0.09;0.0;0.0;0.0;0.0;8.32;0.14;30.91;0.65;0.7;24.19;2.28;35.25;1.07;2.37;0.74;0.0;0.37;0.19;0.09;12.5;0.0;0.0;0.0;0.0;0.0;0.0;Dilan Zúñiga;Palestino
0.04;0.26;0.04;3.91;49.46;1.02;48.98;0.6;66.67;1.79;0.13;77.84;4.93;49.36;90;1.53;1.28;1.19;1.19;0.0;0.0;0.0;0.89;0.09;0.0;0.0;0.0;0.0;12.37;0.17;39.88;1.19;0.64;23.44;3.83;52.63;1.57;0.68;1.32;0.04;1.32;0.26;0.47;3.23;0.04;0.09;0.0;0.0;0.0;0.0;Jimmy Martínez;Huachipato
0.09;0.38;0.0;4.24;54.22;1.22;44.83;1.79;67.86;1.32;0.09;76.79;5.46;51.79;90;1.13;0.85;1.22;1.51;0.0;0.0;0.0;0.94;0.47;0.0;0.0;0.0;0.0;8.66;0.09;37.37;1.69;1.32;29.79;4.24;54.22;0.94;0.28;0.94;0.0;1.6;0.56;0.38;5.88;0.0;0.0;;0.0;0.0;0.0;Jorge Henríquez;Curicó Unido
0.0;0.21;0.0;1.76;58.93;1.92;75.0;0.16;42.86;1.01;0.05;87.41;3.68;66.35;90;0.59;0.59;0.21;1.23;0.0;0.0;0.0;1.23;0.16;0.0;0.0;0.0;0.0;2.4;0.05;37.38;0.27;0.05;20.0;3.41;66.67;1.92;3.63;0.27;0.05;0.27;0.11;0.0;0.0;0.0;0.11;0.0;0.0;0.0;0.0;Branco Ampuero;Universidad Católica
0.13;0.47;0.13;4.15;49.21;0.67;40.0;1.07;69.57;1.54;0.33;72.97;4.82;47.68;90;1.54;0.74;1.54;1.47;0.0;0.0;0.0;1.07;0.27;0.0;0.0;0.0;0.0;12.71;0.33;34.33;2.07;1.14;25.0;4.08;57.55;0.27;0.2;1.54;0.07;2.41;0.4;0.8;5.56;0.07;0.13;0.0;0.0;0.0;0.0;Luis Montes;Everton de Viña del Mar
0.27;0.45;0.0;2.27;33.33;0.27;27.27;0.54;50.0;0.91;0.36;82.0;2.54;32.56;90;0.82;1.82;1.0;1.91;0.0;0.0;0.0;1.45;0.27;0.0;0.0;0.0;0.0;12.81;0.09;43.86;2.18;1.18;34.21;3.81;61.76;0.36;0.36;1.27;0.09;1.82;0.82;0.45;15.0;0.0;0.0;0.0;0.0;0.0;0.0;Cristóbal Jorquera;Deportes Magallanes
0.42;0.16;0.0;2.03;43.33;3.18;45.86;0.99;55.88;0.47;0.05;58.43;5.22;44.84;90;0.57;0.94;0.78;1.57;0.0;0.0;0.0;1.57;0.42;0.0;0.0;0.0;0.0;4.9;0.05;12.83;1.04;0.05;14.29;0.47;60.0;0.1;0.63;0.31;0.16;2.61;0.83;0.68;16.0;0.05;0.42;0.0;0.0;0.0;0.0;Diego Coelho;Curicó Unido
0.0;0.42;0.06;3.05;59.3;1.02;56.67;0.6;71.43;1.73;0.0;79.52;4.06;58.62;90;0.72;1.07;0.36;1.55;0.0;0.0;0.0;0.9;0.12;0.0;0.0;0.0;0.0;4.3;0.06;35.47;0.84;0.78;34.21;4.18;46.98;1.43;2.93;0.54;0.0;0.66;0.3;0.18;0.0;0.06;0.06;0.0;0.0;0.0;0.0;Alfonso Parot;Universidad Católica
